Series,Time,Value
CU-S0005,7/2/2018,112.5384615
CU-S0006,7/2/2018,114.4727273
CU-S0009,7/2/2018,119.2025
CU-S0010,5/2/2018,113.8209459
CU-S0010,6/2/2018,114.2132862
CU-S0010,7/2/2018,133.4162602
CU-S0011,5/2/2018,121.9030872
CU-S0011,6/2/2018,120.9345865
CU-S0011,7/2/2018,125.0805085
CU-S0014,7/2/2018,111.4222222
CU-S0015,7/2/2018,92.1525
CU-S0017,5/2/2018,120.3315436
CU-S0017,6/2/2018,119.587108
CU-S0017,7/2/2018,128.8829268
CU-S0018,5/2/2018,118.5288591
CU-S0018,6/2/2018,118.8559441
CU-S0018,7/2/2018,120.6923967
CU-S0019,5/2/2018,123.7727891
CU-S0019,6/2/2018,144.4877352
CU-S0019,7/2/2018,145.9272727
CU-S0024,5/2/2018,50.58255034
CU-S0024,6/2/2018,54.70140845
CU-S0024,7/2/2018,75.63577236
CU-S0026,6/2/2018,119.0615044
CU-S0026,7/2/2018,134.4368421
CU-S0027,7/2/2018,105.020524
CU-S0029,5/2/2018,120.8841892
CU-S0029,6/2/2018,123.3121951
CU-S0029,7/2/2018,149.7388525
CU-S0030,5/2/2018,127.4322449
CU-S0030,6/2/2018,126.650453
CU-S0030,7/2/2018,138.617
CU-S0032,6/2/2018,130.8526563
CU-S0032,7/2/2018,144.7813223
CU-S0033,5/2/2018,115.7013514
CU-S0033,6/2/2018,113.4510105
CU-S0033,7/2/2018,124.23
CU-S0035,5/2/2018,106.8702703
CU-S0035,6/2/2018,104.7976307
CU-S0035,7/2/2018,120.4634146
CU-S0042,5/2/2018,129.0214765
CU-S0042,6/2/2018,128.5666667
CU-S0042,7/2/2018,122.7619048
CU-S0043,7/2/2018,131.6364912
CU-S0045,5/2/2018,115.7321875
CU-S0045,6/2/2018,113.4456537
CU-S0045,7/2/2018,134.2754472
CU-S0047,7/2/2018,119.8592895
CU-S0050,5/2/2018,129.5824324
CU-S0050,6/2/2018,125.1972222
CU-S0050,7/2/2018,124.7011475
CU-S0051,7/2/2018,97.2832
CU-S0052,7/2/2018,128.5764
CU-S0053,5/2/2018,108.8
CU-S0054,5/2/2018,120.6110811
CU-S0054,6/2/2018,127.1183099
CU-S0054,7/2/2018,134.0278689
CU-S0055,7/2/2018,138.1333333
CU-S0056,7/2/2018,134.1128814
CU-S0060,6/2/2018,129.6345968
CU-S0060,7/2/2018,144.2261157
CU-S0070,5/2/2018,133.8885906
CU-S0070,6/2/2018,120.0465278
CU-S0070,7/2/2018,127.2958678
CU-S0074,5/2/2018,118.3245714
CU-S0074,6/2/2018,104.0926606
CU-S0074,7/2/2018,116.9991398
CU-S0080,6/2/2018,121.7190361
CU-S0080,7/2/2018,135.9614876
CU-S0081,5/2/2018,115.82
CU-S0081,6/2/2018,111.2388889
CU-S0081,7/2/2018,123.4113821
CU-S0082,7/2/2018,122.6763984
CU-S0088,7/2/2018,100.0285714
CU-S0090,7/2/2018,109.8975
CU-S0093,7/2/2018,120.7495824
CU-S0098,5/2/2018,120.2228188
CU-S0098,6/2/2018,117.9145833
CU-S0098,7/2/2018,129.7622951
CU-S0100,5/2/2018,139.514094
CU-S0100,6/2/2018,129.3047387
CU-S0100,7/2/2018,132.7941176
CU-S0101,7/2/2018,120.868125
CU-S0002,12/2/2018,74.84348837
CU-S0002,13/2/2018,101.0174216
CU-S0002,14/2/2018,119.3409722
CU-S0002,15/2/2018,122.5345455
CU-S0002,16/2/2018,96.69993031
CU-S0002,17/2/2018,143.26
CU-S0002,18/2/2018,141.4923077
CU-S0002,19/2/2018,133.8276642
CU-S0002,20/2/2018,141.6751724
CU-S0002,21/2/2018,114.1966265
CU-S0002,22/2/2018,50.32361702
CU-S0002,23/2/2018,41.67944251
CU-S0002,24/2/2018,62.87430556
CU-S0002,25/2/2018,98.43037037
CU-S0002,26/2/2018,45.02472527
CU-S0002,27/2/2018,99.04056338
CU-S0002,28/2/2018,79.12430556
CU-S0002,1/3/2018,87.06729167
CU-S0002,2/3/2018,93.55277778
CU-S0002,3/3/2018,106.2668772
CU-S0002,4/3/2018,103.8030973
CU-S0002,5/3/2018,210.5524042
CU-S0002,6/3/2018,205.405
