Series,Time,Value
mqtt_consumer.mean {topic: chula/CU-S0005},31/1/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},1/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},2/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},3/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},4/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},5/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},6/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},7/2/2018,57.33653846
mqtt_consumer.mean {topic: chula/CU-S0005},8/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},9/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},10/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},11/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},12/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},13/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},14/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},15/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},16/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},17/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},18/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},19/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},20/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},21/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},22/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},23/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},24/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},25/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},26/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},27/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},28/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},1/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},2/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},3/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},4/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},5/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},6/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},7/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},8/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},9/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},10/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},11/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},12/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},13/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},14/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},15/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},16/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},17/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},18/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},19/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},20/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},21/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},22/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},23/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},24/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},25/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},26/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},27/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},28/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},29/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},30/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},31/3/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},1/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},2/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},3/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},4/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},5/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},6/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},7/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},8/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},9/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},10/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},11/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},12/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},13/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},14/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},15/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},16/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},17/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},18/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},19/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0005},20/4/2018,null
mqtt_consumer.mean {topic: chula/CU-S0006},31/1/2018,null
mqtt_consumer.mean {topic: chula/CU-S0006},1/2/2018,null
mqtt_consumer.mean {topic: chula/CU-S0006},2/2/2018,null
