sensorid,time,pm1
CU-S0001,31-01-18,
CU-S0001,01-02-18,
CU-S0001,02-02-18,
CU-S0001,03-02-18,
CU-S0001,04-02-18,
CU-S0001,05-02-18,
CU-S0001,06-02-18,
CU-S0001,07-02-18,
CU-S0001,08-02-18,
CU-S0001,09-02-18,
CU-S0001,10-02-18,
CU-S0001,11-02-18,
CU-S0001,12-02-18,
CU-S0001,13-02-18,
CU-S0001,14-02-18,28.33333333
CU-S0001,15-02-18,
CU-S0001,16-02-18,
CU-S0001,17-02-18,
CU-S0001,18-02-18,
CU-S0001,19-02-18,
CU-S0001,20-02-18,
CU-S0001,21-02-18,
CU-S0001,22-02-18,
CU-S0001,23-02-18,
CU-S0001,24-02-18,
CU-S0001,25-02-18,
CU-S0001,26-02-18,
CU-S0001,27-02-18,
CU-S0001,28-02-18,29.935
CU-S0001,01-03-18,
CU-S0001,02-03-18,
CU-S0001,03-03-18,
CU-S0001,04-03-18,
CU-S0001,05-03-18,
CU-S0001,06-03-18,
CU-S0001,07-03-18,
CU-S0001,08-03-18,
CU-S0001,09-03-18,
CU-S0001,10-03-18,
CU-S0001,11-03-18,
CU-S0001,12-03-18,
CU-S0001,13-03-18,
CU-S0001,14-03-18,
CU-S0001,15-03-18,
CU-S0001,16-03-18,
CU-S0001,17-03-18,
CU-S0001,18-03-18,
CU-S0001,19-03-18,
CU-S0001,20-03-18,
CU-S0001,21-03-18,
CU-S0001,22-03-18,
CU-S0001,23-03-18,
CU-S0001,24-03-18,
CU-S0001,25-03-18,
CU-S0001,26-03-18,
CU-S0001,27-03-18,
CU-S0001,28-03-18,
CU-S0001,29-03-18,
CU-S0001,30-03-18,
CU-S0001,31-03-18,
CU-S0001,01-04-18,
CU-S0001,02-04-18,
CU-S0001,03-04-18,
CU-S0001,04-04-18,
CU-S0001,05-04-18,
CU-S0001,06-04-18,
CU-S0001,07-04-18,
CU-S0001,08-04-18,
CU-S0001,09-04-18,
CU-S0001,10-04-18,
CU-S0001,11-04-18,
CU-S0001,12-04-18,
CU-S0001,13-04-18,
CU-S0001,14-04-18,
CU-S0001,15-04-18,
CU-S0001,16-04-18,
CU-S0001,17-04-18,
CU-S0001,18-04-18,
CU-S0001,19-04-18,
CU-S0001,20-04-18,
