"","ACQ_DATE","count(*)"
"1","2018-02-22",1
"2","2018-02-23",2
"3","2018-02-24",9
"4","2018-02-25",12
"5","2018-02-26",9
"6","2018-02-27",3
"7","2018-02-28",11
"8","2018-03-01",102
"9","2018-03-02",110
"10","2018-03-03",166
"11","2018-03-04",263
"12","2018-03-05",198
"13","2018-03-06",469
"14","2018-03-07",381
"15","2018-03-08",128
"16","2018-03-09",2
"17","2018-03-10",73
"18","2018-03-11",124
"19","2018-03-12",147
"20","2018-03-13",90
"21","2018-03-14",33
"22","2018-03-15",68
"23","2018-03-16",149
"24","2018-03-17",478
"25","2018-03-18",492
"26","2018-03-19",240
"27","2018-03-20",325
"28","2018-03-21",225
"29","2018-03-22",266
"30","2018-03-23",546
"31","2018-03-24",242
"32","2018-03-25",212
"33","2018-03-26",5
"34","2018-03-28",101
"35","2018-03-29",52
"36","2018-03-30",116
"37","2018-04-01",15
"38","2018-04-02",49
"39","2018-04-03",147
"40","2018-04-04",82
"41","2018-04-05",11
"42","2018-04-06",89
"43","2018-04-08",34
"44","2018-04-09",149
"45","2018-04-10",564
"46","2018-04-11",1109
"47","2018-04-12",1241
"48","2018-04-13",1020
"49","2018-04-14",236
"50","2018-04-15",195
"51","2018-04-16",34
"52","2018-04-18",2
"53","2018-04-19",2
"54","2018-04-20",8
"55","2018-04-21",38
"56","2018-04-22",196
"57","2018-04-23",796
"58","2018-04-24",189
"59","2018-04-25",129
"60","2018-04-27",9
"61","2018-04-30",16
